"Animal.ID","Strongyle.EPG","Coccidia.EPG","Cestode.EPG","Ascarid.EPG","Mite.LPG","Fecal.Mass.g.","SVL","Mass","BCI","Site_Forest","Site_Park","Site_Zoo","Sex_F","Sex_M","Mite.PA"
"ANFO_23_104_149",1,0,0,0,0,0.33,56,20,-0.713799999999999,0,1,0,0,1,0
"ANFO_24",1,0,0,0,0,0.86,60,31,6.3462,0,1,0,1,0,0
"ANFO_25",1,0,0,0,0,0.235,54,15,-3.7438,0,1,0,0,1,0
"ANFO_27",1,0,0,0,0,0.993,69,36,2.48119999999999,0,1,0,1,0,0
"ANFO_28",1,0,0,0,0,0.918,55,24,4.2712,0,1,0,1,0,0
"ANFO_7_99_142",1,1,1,0,8.9171974522293,0.785,63,29,1.3912,0,1,0,1,0,1
"ANFO_133",0,1,0,0,4.13223140495868,0.242,54,15,-3.7438,0,0,1,0,1,1
"ANFO_134",1,0,0,0,0,0.634,60,25,0.346199999999996,0,0,1,0,1,0
"ANFO_32_136_194",1,0,0,1,0,0.661,58,21,-1.68380000000001,0,0,1,0,1,0
"ANFO_137_197",1,1,0,1,1.52671755725191,0.655,58,20,-2.68380000000001,0,0,1,1,0,1
"ANFO_138",1,1,0,0,14.0845070422535,0.284,53,17,-0.758800000000001,0,0,1,0,1,1
"ANFO_140_182",1,1,1,1,2.3696682464455,0.844,67,30,-1.54880000000001,0,0,1,1,0,1
"ANFO_141",1,0,0,0,8.52878464818763,0.938,60,24,-0.653800000000004,0,0,1,1,0,1
"ANFO_157_176",1,0,1,0,45.9016393442623,0.915,60,23,-1.6538,0,0,1,0,1,1
"ANFO_158",1,0,0,1,0,0.822,55,18,-1.7288,0,0,1,0,1,0
"ANFO_159",1,0,0,0,7.89889415481833,0.633,59,21,-2.6688,0,0,1,0,1,1
"ANFO_160",1,1,1,1,2.93685756240822,0.681,54,16,-2.7438,0,0,1,0,1,1
"ANFO_162",1,0,0,0,0,0.605,60,20,-4.6538,0,0,1,1,0,0
"ANFO_164",1,0,1,0,8.59291084854995,0.931,65,31,1.42119999999999,0,0,1,1,0,1
"ANFO_165",1,1,0,0,14.8849797023004,0.739,61,20,-5.6388,0,0,1,1,0,1
"ANFO_166",1,0,0,1,24.8648648648649,0.925,58,21,-1.68380000000001,0,0,1,0,1,1
"ANFO_167",1,0,0,1,4.12371134020619,0.97,62,24,-2.6238,0,0,1,1,0,1
"ANFO_171_184",1,0,0,0,3.14465408805031,0.636,56,20,-0.713799999999999,0,0,1,0,1,1
"ANFO_172",1,1,0,0,7.88643533123028,0.634,69,32,-1.51880000000001,0,0,1,1,0,1
"ANFO_173",1,0,1,1,0,0.359,66,29,-1.56380000000001,0,0,1,1,0,0
"ANFO_175",1,1,1,0,1.93423597678917,0.517,55,16,-3.7288,0,0,1,1,0,1
"ANFO_177",1,0,0,0,1.92307692307692,0.52,57,20,-1.6988,0,0,1,0,1,1
"ANFO_140_182",1,0,0,1,4.31034482758621,0.696,63,27,-0.608800000000002,0,0,1,1,0,1
"ANFO_171_184",1,1,0,1,3.12825860271116,0.959,68,34,1.46619999999999,0,0,1,1,0,1
"ANFO_31_187",1,1,0,0,11.6580310880829,0.772,57,20,-1.6988,0,0,1,0,1,1
"ANFO_188",1,1,0,1,21.9941348973607,0.682,55,14,-5.7288,0,0,1,0,1,1
"ANFO_189",1,0,1,0,0,0.434,53,13,-4.7588,0,0,1,1,0,0
"ANFO_190",1,1,0,1,1.01010101010101,0.99,68,32,-0.533800000000006,0,0,1,1,0,1
"ANFO_192",1,0,0,1,1.27226463104326,0.786,66,24,-6.56380000000001,0,0,1,1,0,1
"ANFO_193",1,1,0,1,2.77777777777778,0.72,57,20,-1.6988,0,0,1,1,0,1
"ANFO_32_136_194",1,0,0,1,2.00601805416249,0.997,59,20,-3.6688,0,0,1,0,1,1
"ANFO_195",1,0,0,1,3.16455696202532,0.948,60,20,-4.6538,0,0,1,0,1,1
"ANFO_135_196",1,1,0,1,9.93377483443709,0.302,56,19,-1.7138,0,0,1,0,1,1
"ANFO_29",1,1,1,1,0,0.337,58,22,-0.683800000000005,0,0,1,0,1,0
"ANFO_31_187",1,0,0,1,9.19540229885057,0.435,56,17,-3.7138,0,0,1,0,1,1
"ANFO_32_136_194",1,0,0,0,1.62866449511401,0.614,57,22,0.301200000000001,0,0,1,0,1,1
"ANFO_35",1,0,0,1,4.71142520612485,0.849,63,20,-7.6088,0,0,1,0,1,1
"ANFO_40",1,0,0,0,0,0.612,62,17,-9.6238,0,0,1,1,0,0
"ANFO_41",1,0,0,0,1.58478605388273,0.631,60,23,-1.6538,0,0,1,1,0,1
"ANFO_43",1,1,0,1,0,0.992,67,27,-4.54880000000001,0,0,1,1,0,0
"ANFO_52",1,0,1,0,0,0.197,59,21,-2.6688,0,0,1,0,1,0
