"Animal.ID","Strongyle.EPG","Strongyle.LPG","Coccidia.EPG","Cestode.EPG","Ascarid.EPG","Mite.LPG","Fecal.Mass(g)","Site","Sex","SVL","Mass","regline","BCI"
"ANFO_116",220.865704772475,34,0,1.10987791342952,2.21975582685905,2.21975582685905,0.901,"Park","F",58,22,22.6838,-0.683800000000005
"ANFO_122",23.0515916575192,0,0,2.1953896816685,0,1.09769484083425,0.911,"Park","F",64,35,28.5938,6.4062
"ANFO_128",158.81708652793,0,0,6.57174151150055,0,3.28587075575027,0.913,"Park","F",48,15,12.8338,2.1662
"ANFO_130",2827.58620689655,310,27.5862068965517,0,0,1.37931034482759,0.725,"Park","unk",65,33,29.5788,3.42119999999999
"ANFO_14",7.69230769230769,0,0,0,0,0,0.26,"Park","M",52,19,16.7738,2.2262
"ANFO_7_99_142",20.6985769728331,11,6.46830530401035,0,1.29366106080207,0,0.773,"Park","F",68,34,32.5338,1.46619999999999
"ANFO_143",743.225806451613,36,0,1.29032258064516,0,2.58064516129032,0.775,"Park","M",65,29,29.5788,-0.578800000000008
"ANFO_145",0,0,0,0,8.18833162743091,0,0.977,"Park","F",61,26,25.6388,0.361199999999997
"ANFO_146",318.796992481203,2,15.0375939849624,10.5263157894737,7.5187969924812,22.5563909774436,0.665,"Park","M",58,22,22.6838,-0.683800000000005
"ANFO_147",0,0,0,0,0,0,0.072,"Park","F",58,16,22.6838,-6.68380000000001
"ANFO_113_148",83.0985915492958,2,19.7183098591549,0,11.2676056338028,2.8169014084507,0.71,"Park","M",55,19,19.7288,-0.7288
"ANFO_23_104_149",170.781893004115,16,473.251028806584,11.3168724279835,1.02880658436214,3.08641975308642,0.972,"Park","M",59,21,23.6688,-2.6688
"ANFO_150",243.150684931507,20,1.14155251141553,0,0,5.70776255707763,0.876,"Park","F",69,34,33.5188,0.481199999999994
"ANFO_151",168.192219679634,2,2.2883295194508,4.5766590389016,2.2883295194508,9.1533180778032,0.874,"Park","F",56,19,20.7138,-1.7138
"ANFO_152",608.433734939759,5,0,0,25.3012048192771,15.6626506024096,0.83,"Park","F",58,25,22.6838,2.31619999999999
"ANFO_154",571.729957805907,1,0,2784.81012658228,0,21.0970464135021,0.474,"Park","F",60,20,24.6538,-4.6538
"ANFO_155",71.7703349282297,32,4.78468899521531,0,1.19617224880383,8.37320574162679,0.836,"Park","F",58,25,22.6838,2.31619999999999
